Date Added,Track Item,Retailer,Retailer Item ID,TLD,UPC,Title,Manufacturer,Brand,Client Product Group,Category,Subcategory,Amazon Sub Category,Platform,VAT Code
43553,Y,AMAZON,B00004UE54,COUK,,HP Original C4821A  Print Head + Cleaner No 80 Cyan,HP,HP,PRINTER SUPPLIES,INK,SF INK,,,UK1
43553,Y,AMAZON,B00005NHAB,COUK,,"""HP C7115X 15X High Yield Original LaserJet Toner Cartridge",Black,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B000A42UNQ,COUK,,"""HP C9351AE 21 Original Ink Cartridge",Black,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B000IQWX1K,COUK,,"""HP Original 70 - Printhead - 1 x cyan","matte black""",HP,HP,PRINTER SUPPLIES,INK,,,
43553,Y,AMAZON,B000IXPI7O,COUK,,HP 70 Blue and Green DesignJet Printhead (C9408A),HP,HP,PRINTER SUPPLIES,INK,SF INK,,,UK1
43553,Y,AMAZON,B001A3ZH8Q,COUK,,LaserJet P2035 Laser Printer,HP,HP,TOTAL PRINTERS,LASER PRINTERS,LASER SF,,,UK1
43553,Y,AMAZON,B001DXMGC8,COUK,,"""HP CC531A 304A Original LaserJet Toner Cartridge",Cyan,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B002LIU07C,COUK,,"""HP CB540AD 125A Original LaserJet Toner Cartridges",Black,"Pack of 2""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B0046MUNC8,COUK,,"""HP 771 - Printhead matte black","chromatic red""",HP,HP,PRINTER SUPPLIES,INK,,,
43553,Y,AMAZON,B06XT1DNLY,COUK,,"""HP CF237X 37X High Yield Original LaserJet Toner Cartridge",Black,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B00006BBD5,COUK,,HP Original C5016A  Ink Cartridge No 84 Black 69Ml,HP,HP,PRINTER SUPPLIES,INK,SF INK,,,UK1
43553,Y,AMAZON,B000IQYQQA,COUK,,HP Original No.70 Cyan Ink Cart 130ml,HP,HP,PRINTER SUPPLIES,INK,SF INK,,,UK1
43553,Y,AMAZON,B000IXS6D2,COUK,,HP Original No.70 Grey Ink Cart 130ml,HP,HP,PRINTER SUPPLIES,INK,SF INK,,,UK1
43553,Y,AMAZON,B0046M37LM,COUK,,HP 761 Designjet Printhead - Magenta/Cyan,HP,HP,PRINTER SUPPLIES,INK,SF INK,,,UK1
43553,Y,AMAZON,B0000696PW,COUK,,"""HP C9720A 641A Original LaserJet Toner Cartridge",Black,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B00007147C,COUK,,"""HP C4838A 11 Original Ink Cartridge",Yellow,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B000PHQE3A,COUK,,HP Original 72 Yellow Ink Cartridge (130 ml),HP,HP,PRINTER SUPPLIES,INK,SF INK,,,UK1
43553,Y,AMAZON,B000XVLZNC,COUK,,"""HP CB436A 36A Original LaserJet Toner Cartridge",Black,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B0015YCS1O,COUK,,"""HP CB542A 125A Original LaserJet Toner Cartridge",Yellow,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B003XW4E7W,COUK,,"""HP CE323A 128A Original LaserJet Toner Cartridge",Magenta,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B0044UCKTQ,COUK,,"""HP CE311A 126A Original LaserJet Toner Cartridge",Cyan,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
